order_id,order_type,cust_id,order_date,delivery_date,tot_units,displayed_selling_price_per_unit,total_amount_paid,product_id,delivery_person_id,payment_type,delivery_pincode
10000000001,buy,10000009,2020-01-01,2020-01-03,2,73500,138180,12349,1000003,cash,500001
10000000002,buy,10000004,2020-01-01,2020-01-04,9,67500,577125,12349,1000005,cash,700001
10000000003,buy,10000012,2020-01-01,2020-01-02,2,60750,119070,12349,1000002,netbanking,400001
10000000004,buy,10000012,2020-01-01,2020-01-03,8,736,5824,12347,1000010,cash,600001
10000000005,buy,10000008,2020-01-01,2020-01-06,1,60750,57105,12349,1000003,debit,500001
10000000006,buy,10000007,2020-01-01,2020-01-06,8,773,6120,12350,1000005,netbanking,700001
10000000007,buy,10000012,2020-01-02,2020-01-07,8,833,6528,12350,1000002,credit,400001
10000000008,buy,10000009,2020-01-02,2020-01-12,4,1012,3924,12348,1000002,credit,400001
10000000009,buy,10000001,2020-01-02,2020-01-07,4,1045,3844,12348,1000006,cash,400001
10000000010,buy,10000007,2020-01-03,2020-01-10,5,756,3475,12350,1000008,debit,110001
10000000011,buy,10000012,2020-01-03,2020-01-09,6,902,5298,12348,1000010,credit,600001
10000000012,buy,10000011,2020-01-03,2020-01-10,7,968,6503,12348,1000009,cash,400001
10000000013,buy,10000003,2020-01-04,2020-01-14,1,1200,1116,12345,1000002,netbanking,400001
10000000014,buy,10000002,2020-01-04,2020-01-06,6,648,3810,12347,1000005,netbanking,700001
10000000015,buy,10000009,2020-01-04,2020-01-06,10,946,8790,12348,1000003,netbanking,500001
10000000016,buy,10000004,2020-01-04,2020-01-07,5,656,3015,12347,1000007,netbanking,700001
10000000017,buy,10000011,2020-01-04,2020-01-06,1,77600,76048,12346,1000003,cash,500001
10000000018,buy,10000012,2020-01-04,2020-01-08,4,1410,5356,12345,1000002,cash,400001
10000000019,buy,10000009,2020-01-05,2020-01-08,3,1275,3672,12345,1000004,netbanking,400001
10000000020,buy,10000011,2020-01-05,2020-01-14,3,760,2052,12347,1000007,debit,700001
10000000021,buy,10000006,2020-01-05,2020-01-08,1,66000,65340,12349,1000002,debit,400001
10000000022,buy,10000003,2020-01-06,2020-01-16,3,73500,209475,12349,1000005,cash,700001
10000000023,buy,10000014,2020-01-06,2020-01-14,8,968,7120,12348,1000001,netbanking,560001
10000000024,buy,10000011,2020-01-06,2020-01-07,9,68250,565110,12349,1000009,cash,400001
10000000025,buy,10000014,2020-01-07,2020-01-16,10,736,7060,12347,1000004,debit,400001
10000000026,buy,10000003,2020-01-07,2020-01-17,8,64800,466560,12346,1000006,cash,400001
10000000027,buy,10000012,2020-01-07,2020-01-12,1,728,684,12347,1000006,cash,400001
10000000028,buy,10000009,2020-01-07,2020-01-14,8,1425,10368,12345,1000008,cash,110001
10000000029,buy,10000006,2020-01-08,2020-01-12,4,1245,4480,12345,1000010,cash,600001
10000000029,return,10000006,2020-01-15,2020-01-24,4,1245,-4480,12345,1000010,cash,600001
10000000030,buy,10000007,2020-01-08,2020-01-13,3,957,2610,12348,1000008,netbanking,110001
10000000031,buy,10000001,2020-01-09,2020-01-12,7,74400,515592,12346,1000001,debit,560001
10000000032,buy,10000005,2020-01-09,2020-01-13,6,1470,8022,12345,1000006,netbanking,400001
10000000033,buy,10000004,2020-01-09,2020-01-18,4,760,2736,12347,1000006,credit,400001
10000000034,buy,10000014,2020-01-09,2020-01-13,4,760,2976,12347,1000001,credit,560001
10000000035,buy,10000010,2020-01-10,2020-01-12,9,1380,12294,12345,1000003,debit,500001
10000000036,buy,10000014,2020-01-10,2020-01-11,10,720,6760,12347,1000002,credit,400001
10000000037,buy,10000012,2020-01-10,2020-01-16,7,946,6020,12348,1000010,netbanking,600001
10000000038,buy,10000009,2020-01-10,2020-01-17,1,76800,73728,12346,1000007,cash,700001
10000000039,buy,10000010,2020-01-11,2020-01-12,6,648,3768,12347,1000006,cash,400001
10000000040,buy,10000002,2020-01-11,2020-01-19,6,1395,7530,12345,1000007,credit,700001
10000000041,buy,10000006,2020-01-11,2020-01-21,6,69600,388368,12346,1000008,netbanking,110001
10000000042,buy,10000004,2020-01-11,2020-01-13,1,891,855,12348,1000001,netbanking,560001
10000000043,buy,10000003,2020-01-12,2020-01-21,3,720,2094,12347,1000003,cash,500001
10000000044,buy,10000005,2020-01-12,2020-01-16,6,824,4548,12350,1000001,netbanking,560001
10000000045,buy,10000012,2020-01-13,2020-01-23,9,61500,536895,12349,1000008,netbanking,110001
10000000046,buy,10000013,2020-01-13,2020-01-23,5,73500,363825,12349,1000003,cash,500001
10000000047,buy,10000001,2020-01-13,2020-01-18,5,74250,341550,12349,1000009,credit,400001
10000000048,buy,10000012,2020-01-13,2020-01-17,10,1410,12970,12345,1000003,cash,500001
10000000049,buy,10000004,2020-01-13,2020-01-20,1,790,734,12350,1000010,netbanking,600001
10000000050,buy,10000014,2020-01-13,2020-01-22,8,913,7152,12348,1000005,debit,700001
10000000051,buy,10000003,2020-01-14,2020-01-24,4,67500,256500,12349,1000009,cash,400001
10000000052,buy,10000008,2020-01-14,2020-01-16,1,64500,60630,12349,1000003,cash,500001
10000000053,buy,10000010,2020-01-14,2020-01-17,8,1410,10712,12345,1000007,cash,700001
10000000054,buy,10000010,2020-01-14,2020-01-15,6,65600,358176,12346,1000001,netbanking,560001
10000000055,buy,10000002,2020-01-15,2020-01-20,6,744,4284,12347,1000009,credit,400001
10000000056,buy,10000006,2020-01-15,2020-01-18,5,63000,289800,12349,1000001,netbanking,560001
10000000057,buy,10000014,2020-01-16,2020-01-22,4,1320,4908,12345,1000001,credit,560001
10000000058,buy,10000008,2020-01-16,2020-01-19,5,807,3630,12350,1000004,cash,400001
10000000059,buy,10000013,2020-01-16,2020-01-22,1,1245,1120,12345,1000003,credit,500001
10000000059,return,10000013,2020-01-24,2020-01-30,1,1245,-1120,12345,1000003,credit,500001
10000000060,buy,10000014,2020-01-16,2020-01-17,2,748,1346,12350,1000003,debit,500001
10000000061,buy,10000004,2020-01-16,2020-01-25,4,1200,4560,12345,1000007,cash,700001
10000000062,buy,10000003,2020-01-16,2020-01-17,4,1320,5172,12345,1000009,credit,400001
10000000063,buy,10000006,2020-01-17,2020-01-26,3,65250,184005,12349,1000009,netbanking,400001
10000000064,buy,10000006,2020-01-17,2020-01-22,3,776,2280,12347,1000009,netbanking,400001
10000000065,buy,10000011,2020-01-17,2020-01-21,4,824,3064,12350,1000003,netbanking,500001
10000000066,buy,10000009,2020-01-17,2020-01-23,7,790,5138,12350,1000005,cash,700001
10000000067,buy,10000010,2020-01-18,2020-01-25,8,913,6568,12348,1000008,credit,110001
10000000068,buy,10000008,2020-01-18,2020-01-21,6,63000,347760,12349,1000006,debit,400001
10000000069,buy,10000012,2020-01-18,2020-01-22,3,880,2376,12348,1000002,cash,400001
10000000070,buy,10000002,2020-01-18,2020-01-22,3,776,2280,12347,1000003,debit,500001
10000000071,buy,10000007,2020-01-18,2020-01-20,8,1034,7936,12348,1000002,cash,400001
10000000072,buy,10000004,2020-01-19,2020-01-22,7,1245,8540,12345,1000003,credit,500001
10000000073,buy,10000009,2020-01-19,2020-01-23,1,705,662,12350,1000001,cash,560001
10000000074,buy,10000004,2020-01-20,2020-01-30,8,76000,595840,12346,1000001,debit,560001
10000000075,buy,10000014,2020-01-20,2020-01-29,2,714,1398,12350,1000008,netbanking,110001
10000000076,buy,10000001,2020-01-20,2020-01-29,6,72000,406080,12346,1000005,netbanking,700001
10000000077,buy,10000008,2020-01-20,2020-01-28,5,64800,294840,12346,1000008,netbanking,110001
10000000078,buy,10000008,2020-01-21,2020-01-29,5,714,3320,12350,1000003,credit,500001
10000000079,buy,10000005,2020-01-21,2020-01-27,8,1260,9976,12345,1000006,cash,400001
10000000080,buy,10000006,2020-01-21,2020-01-27,7,69000,478170,12349,1000008,credit,110001
10000000081,buy,10000004,2020-01-22,2020-01-28,7,807,5362,12350,1000008,credit,110001
10000000082,buy,10000011,2020-01-22,2020-01-26,2,63750,119850,12349,1000010,cash,600001
10000000083,buy,10000008,2020-01-23,2020-01-30,3,69600,202536,12346,1000003,cash,500001
10000000083,return,10000008,2020-01-30,2020-02-02,3,69600,-202536,12346,1000003,cash,500001
10000000084,buy,10000014,2020-01-23,2020-01-29,7,65600,431648,12346,1000004,cash,400001
10000000085,buy,10000005,2020-01-24,2020-01-30,4,71250,267900,12349,1000008,cash,110001
10000000086,buy,10000007,2020-01-24,2020-02-02,8,69600,523392,12346,1000008,netbanking,110001
10000000087,buy,10000013,2020-01-24,2020-01-27,9,68250,608103,12349,1000008,cash,110001
10000000088,buy,10000013,2020-01-24,2020-02-01,2,1305,2374,12345,1000006,debit,400001
10000000089,buy,10000003,2020-01-24,2020-01-26,7,1365,9268,12345,1000001,cash,560001
10000000090,buy,10000006,2020-01-24,2020-01-27,3,765,2157,12350,1000001,debit,560001
10000000091,buy,10000001,2020-01-25,2020-02-01,6,680,3672,12350,1000006,netbanking,400001
10000000092,buy,10000011,2020-01-25,2020-01-27,10,1012,9810,12348,1000005,credit,700001
10000000093,buy,10000008,2020-01-25,2020-01-31,1,68000,62560,12346,1000007,credit,700001
10000000094,buy,10000003,2020-01-25,2020-01-30,2,70400,136576,12346,1000008,cash,110001
10000000094,return,10000003,2020-02-02,2020-02-04,2,70400,-136576,12346,1000008,cash,110001
10000000095,buy,10000004,2020-01-25,2020-01-31,4,1350,5236,12345,1000001,cash,560001
10000000096,buy,10000009,2020-01-25,2020-01-26,6,76000,446880,12346,1000005,credit,700001
10000000097,buy,10000001,2020-01-26,2020-01-30,10,72750,669300,12349,1000006,credit,400001
10000000098,buy,10000013,2020-01-26,2020-01-29,7,1215,7994,12345,1000003,credit,500001
10000000099,buy,10000001,2020-01-26,2020-01-28,4,990,3600,12348,1000010,debit,600001
10000000100,buy,10000009,2020-01-26,2020-02-05,3,1485,4365,12345,1000003,debit,500001
10000000101,buy,10000010,2020-01-26,2020-02-01,2,71200,140976,12346,1000001,debit,560001
10000000102,buy,10000012,2020-01-27,2020-01-30,8,1230,8952,12345,1000009,debit,400001
10000000103,buy,10000008,2020-01-27,2020-01-28,8,60000,432000,12349,1000008,credit,110001
10000000104,buy,10000012,2020-01-27,2020-02-01,1,807,750,12350,1000008,netbanking,110001
10000000105,buy,10000001,2020-01-28,2020-02-07,9,656,5841,12347,1000009,credit,400001
10000000106,buy,10000012,2020-01-28,2020-01-30,9,1365,11421,12345,1000005,debit,700001
10000000107,buy,10000011,2020-01-28,2020-02-06,3,765,2133,12350,1000005,credit,700001
10000000108,buy,10000004,2020-01-29,2020-02-05,9,60000,491400,12349,1000001,credit,560001
10000000109,buy,10000006,2020-01-29,2020-02-01,7,75200,521136,12346,1000010,netbanking,600001
10000000110,buy,10000009,2020-01-29,2020-01-30,4,680,2500,12350,1000005,debit,700001
10000000111,buy,10000009,2020-01-29,2020-02-04,6,979,5460,12348,1000004,credit,400001
10000000112,buy,10000004,2020-01-30,2020-01-31,9,768,6696,12347,1000005,netbanking,700001
10000000113,buy,10000008,2020-01-30,2020-02-07,6,1089,6468,12348,1000001,credit,560001
10000000114,buy,10000012,2020-01-30,2020-02-05,6,65600,385728,12346,1000001,credit,560001
10000000115,buy,10000005,2020-01-30,2020-02-04,1,1260,1234,12345,1000003,debit,500001
10000000116,buy,10000007,2020-01-31,2020-02-10,2,782,1438,12350,1000008,debit,110001
10000000117,buy,10000003,2020-01-31,2020-02-04,2,74250,138104,12349,1000001,debit,560001
10000000118,buy,10000014,2020-01-31,2020-02-03,1,680,639,12350,1000001,credit,560001
10000000118,return,10000014,2020-02-03,2020-02-06,1,680,-639,12350,1000001,credit,560001
10000000119,buy,10000005,2020-01-31,2020-02-07,6,731,4338,12350,1000004,debit,400001
10000000120,buy,10000001,2020-02-01,2020-02-06,3,71250,205200,12349,1000010,cash,600001
10000000121,buy,10000007,2020-02-01,2020-02-03,5,65600,301760,12346,1000003,cash,500001
10000000121,return,10000007,2020-02-06,2020-02-18,5,65600,-301760,12346,1000003,cash,500001
10000000122,buy,10000003,2020-02-02,2020-02-12,2,697,1324,12350,1000001,cash,560001
10000000123,buy,10000007,2020-02-02,2020-02-05,2,1335,2456,12345,1000004,credit,400001
10000000124,buy,10000001,2020-02-02,2020-02-10,6,946,5220,12348,1000007,debit,700001
10000000125,buy,10000010,2020-02-02,2020-02-06,7,720,4634,12347,1000006,credit,400001
10000000126,buy,10000011,2020-02-03,2020-02-07,4,913,3504,12348,1000002,cash,400001
10000000127,buy,10000003,2020-02-03,2020-02-04,3,1320,3720,12345,1000008,credit,110001
10000000128,buy,10000003,2020-02-03,2020-02-04,9,1200,10152,12345,1000004,cash,400001
10000000129,buy,10000011,2020-02-04,2020-02-09,3,697,2070,12350,1000002,netbanking,400001
10000000130,buy,10000001,2020-02-04,2020-02-05,9,74250,641520,12349,1000009,netbanking,400001
10000000131,buy,10000013,2020-02-04,2020-02-11,6,752,4146,12347,1000001,cash,560001
10000000132,buy,10000010,2020-02-05,2020-02-14,5,73500,330750,12349,1000005,netbanking,700001
10000000133,buy,10000012,2020-02-05,2020-02-12,2,731,1314,12350,1000003,cash,500001
10000000134,buy,10000013,2020-02-05,2020-02-11,7,990,6440,12348,1000007,netbanking,700001
10000000135,buy,10000014,2020-02-05,2020-02-11,2,768,1396,12347,1000004,netbanking,400001
10000000136,buy,10000007,2020-02-06,2020-02-09,3,65250,182046,12349,1000008,netbanking,110001
10000000137,buy,10000009,2020-02-06,2020-02-07,9,1067,9504,12348,1000009,netbanking,400001
10000000138,buy,10000005,2020-02-06,2020-02-13,3,66000,188100,12349,1000001,credit,560001
10000000139,buy,10000012,2020-02-06,2020-02-16,10,1200,11040,12345,1000010,netbanking,600001
10000000140,buy,10000011,2020-02-06,2020-02-16,8,880,6688,12348,1000009,netbanking,400001
10000000141,buy,10000006,2020-02-07,2020-02-08,3,64800,182736,12346,1000006,credit,400001
10000000142,buy,10000003,2020-02-07,2020-02-15,7,946,6020,12348,1000010,credit,600001
10000000143,buy,10000009,2020-02-07,2020-02-09,4,79200,310464,12346,1000010,credit,600001
10000000144,buy,10000006,2020-02-08,2020-02-16,10,1230,12050,12345,1000010,netbanking,600001
10000000145,buy,10000013,2020-02-08,2020-02-11,3,66000,182160,12349,1000002,debit,400001
10000000146,buy,10000001,2020-02-08,2020-02-15,5,68250,313950,12349,1000006,debit,400001
10000000147,buy,10000013,2020-02-09,2020-02-16,2,1410,2622,12345,1000007,debit,700001
10000000148,buy,10000001,2020-02-09,2020-02-17,8,1067,8104,12348,1000001,cash,560001
10000000149,buy,10000013,2020-02-09,2020-02-15,5,1305,6000,12345,1000009,cash,400001
10000000150,buy,10000010,2020-02-10,2020-02-14,3,841,2268,12350,1000006,debit,400001
10000000151,buy,10000009,2020-02-10,2020-02-11,3,824,2445,12350,1000001,netbanking,560001
10000000152,buy,10000006,2020-02-10,2020-02-17,3,68250,188370,12349,1000008,netbanking,110001
10000000153,buy,10000012,2020-02-10,2020-02-12,8,62250,493016,12349,1000009,cash,400001
10000000154,buy,10000012,2020-02-10,2020-02-13,2,1230,2336,12345,1000009,credit,400001
10000000155,buy,10000009,2020-02-11,2020-02-13,5,731,3285,12350,1000008,netbanking,110001
10000000156,buy,10000014,2020-02-11,2020-02-17,7,816,5194,12350,1000009,debit,400001
10000000157,buy,10000006,2020-02-11,2020-02-18,5,697,3380,12350,1000010,netbanking,600001
10000000158,buy,10000005,2020-02-11,2020-02-16,4,77600,307296,12346,1000010,netbanking,600001
10000000159,buy,10000009,2020-02-12,2020-02-21,6,1215,6702,12345,1000001,debit,560001
10000000160,buy,10000003,2020-02-12,2020-02-21,4,672,2416,12347,1000004,debit,400001
10000000161,buy,10000006,2020-02-12,2020-02-17,6,1290,7506,12345,1000010,debit,600001
10000000162,buy,10000003,2020-02-13,2020-02-17,5,65250,293625,12349,1000010,debit,600001
10000000163,buy,10000005,2020-02-13,2020-02-17,10,760,7220,12347,1000005,credit,700001
10000000164,buy,10000010,2020-02-13,2020-02-20,6,946,5502,12348,1000006,debit,400001
10000000165,buy,10000009,2020-02-14,2020-02-19,10,67500,654750,12349,1000008,netbanking,110001
10000000166,buy,10000009,2020-02-14,2020-02-16,6,75200,437664,12346,1000003,debit,500001
10000000167,buy,10000009,2020-02-14,2020-02-17,6,77600,428352,12346,1000003,cash,500001
10000000167,return,10000009,2020-02-20,2020-03-01,6,77600,-428352,12346,1000003,cash,500001
10000000168,buy,10000003,2020-02-14,2020-02-16,1,704,682,12347,1000007,netbanking,700001
10000000169,buy,10000006,2020-02-14,2020-02-20,3,728,2094,12347,1000003,netbanking,500001
10000000170,buy,10000004,2020-02-15,2020-02-16,7,712,4732,12347,1000008,cash,110001
10000000171,buy,10000007,2020-02-15,2020-02-25,4,1230,4624,12345,1000003,netbanking,500001
10000000172,buy,10000008,2020-02-15,2020-02-22,7,748,4921,12350,1000004,cash,400001
10000000173,buy,10000013,2020-02-16,2020-02-18,2,69750,131130,12349,1000009,debit,400001
10000000174,buy,10000007,2020-02-16,2020-02-22,2,1034,2026,12348,1000010,credit,600001
10000000175,buy,10000013,2020-02-16,2020-02-17,2,1200,2328,12345,1000004,netbanking,400001
10000000176,buy,10000007,2020-02-16,2020-02-25,9,1215,10602,12345,1000003,netbanking,500001
10000000177,buy,10000004,2020-02-17,2020-02-25,2,76800,150528,12346,1000006,netbanking,400001
10000000178,buy,10000005,2020-02-17,2020-02-24,1,1455,1338,12345,1000003,debit,500001
10000000179,buy,10000003,2020-02-18,2020-02-19,6,66400,358560,12346,1000008,netbanking,110001
10000000179,return,10000003,2020-02-22,2020-02-27,6,66400,-358560,12346,1000008,netbanking,110001
10000000180,buy,10000007,2020-02-18,2020-02-23,4,1455,5296,12345,1000004,credit,400001
10000000181,buy,10000007,2020-02-18,2020-02-26,6,1470,8730,12345,1000006,netbanking,400001
10000000182,buy,10000008,2020-02-18,2020-02-21,6,902,5190,12348,1000010,cash,600001
10000000183,buy,10000008,2020-02-18,2020-02-24,9,722,6102,12350,1000010,credit,600001
10000000184,buy,10000005,2020-02-18,2020-02-25,4,656,2568,12347,1000007,cash,700001
10000000185,buy,10000002,2020-02-19,2020-02-23,3,74250,207156,12349,1000008,debit,110001
10000000185,return,10000002,2020-02-25,2020-03-04,3,74250,-207156,12349,1000008,debit,110001
10000000186,buy,10000012,2020-02-19,2020-02-22,9,1335,11889,12345,1000007,cash,700001
10000000187,buy,10000006,2020-02-19,2020-02-27,3,1045,2883,12348,1000010,netbanking,600001
10000000188,buy,10000005,2020-02-20,2020-02-24,7,640,4032,12347,1000006,cash,400001
10000000189,buy,10000005,2020-02-20,2020-02-24,5,72750,331010,12349,1000003,credit,500001
10000000190,buy,10000002,2020-02-20,2020-02-23,1,1335,1321,12345,1000009,debit,400001
10000000191,buy,10000013,2020-02-20,2020-02-27,1,924,887,12348,1000007,debit,700001
10000000192,buy,10000005,2020-02-21,2020-03-02,1,64000,60800,12346,1000006,debit,400001
10000000193,buy,10000005,2020-02-21,2020-02-29,9,891,7857,12348,1000006,cash,400001
10000000194,buy,10000013,2020-02-21,2020-02-26,7,752,4998,12347,1000007,netbanking,700001
10000000195,buy,10000012,2020-02-21,2020-02-29,10,680,6730,12350,1000001,credit,560001
10000000196,buy,10000006,2020-02-22,2020-02-25,2,1215,2308,12345,1000008,netbanking,110001
10000000197,buy,10000007,2020-02-22,2020-02-24,6,69000,376740,12349,1000008,netbanking,110001
10000000198,buy,10000009,2020-02-23,2020-02-26,10,768,7370,12347,1000006,debit,400001
10000000198,return,10000009,2020-02-27,2020-03-05,10,768,-7370,12347,1000006,debit,400001
10000000199,buy,10000010,2020-02-23,2020-02-26,6,65250,375840,12349,1000010,debit,600001
10000000200,buy,10000009,2020-02-23,2020-02-29,2,70400,126720,12346,1000008,netbanking,110001
10000000201,buy,10000003,2020-02-24,2020-02-28,5,760,3720,12347,1000005,netbanking,700001
10000000202,buy,10000012,2020-02-24,2020-02-27,7,728,4788,12347,1000001,debit,560001
10000000203,buy,10000009,2020-02-24,2020-03-01,6,70400,388608,12346,1000001,credit,560001
10000000204,buy,10000009,2020-02-24,2020-03-04,6,773,4590,12350,1000010,credit,600001
10000000205,buy,10000014,2020-02-24,2020-02-28,10,1455,13380,12345,1000003,netbanking,500001
10000000206,buy,10000004,2020-02-25,2020-02-26,6,688,3876,12347,1000006,netbanking,400001
10000000207,buy,10000014,2020-02-25,2020-02-27,2,1089,2112,12348,1000007,netbanking,700001
10000000208,buy,10000008,2020-02-25,2020-02-26,5,736,3310,12347,1000004,netbanking,400001
10000000209,buy,10000007,2020-02-25,2020-03-06,2,1485,2702,12345,1000003,debit,500001
10000000210,buy,10000005,2020-02-25,2020-03-04,10,990,9500,12348,1000010,cash,600001
10000000211,buy,10000008,2020-02-25,2020-02-27,9,1023,8559,12348,1000005,debit,700001
10000000211,return,10000008,2020-03-01,2020-03-08,9,1023,-8559,12348,1000005,debit,700001
10000000212,buy,10000005,2020-02-25,2020-03-05,5,1395,6415,12345,1000010,debit,600001
10000000213,buy,10000013,2020-02-26,2020-02-27,9,74400,662904,12346,1000004,debit,400001
10000000214,buy,10000014,2020-02-26,2020-03-07,8,65250,516776,12349,1000010,debit,600001
10000000215,buy,10000003,2020-02-26,2020-02-29,4,74250,282148,12349,1000003,cash,500001
10000000216,buy,10000012,2020-02-27,2020-03-05,4,924,3436,12348,1000004,cash,400001
10000000217,buy,10000005,2020-02-27,2020-03-08,2,768,1412,12347,1000004,credit,400001
10000000218,buy,10000009,2020-02-27,2020-03-05,6,1078,6078,12348,1000002,netbanking,400001
10000000219,buy,10000013,2020-02-27,2020-03-06,9,792,6840,12347,1000002,netbanking,400001
10000000220,buy,10000008,2020-02-27,2020-03-08,7,760,5054,12347,1000001,netbanking,560001
10000000221,buy,10000004,2020-02-28,2020-03-07,2,913,1806,12348,1000004,netbanking,400001
10000000221,return,10000004,2020-03-08,2020-03-11,2,913,-1806,12348,1000004,netbanking,400001
10000000222,buy,10000007,2020-02-28,2020-03-01,5,67200,305760,12346,1000008,debit,110001
10000000223,buy,10000004,2020-02-28,2020-03-09,2,72000,142560,12349,1000010,debit,600001
10000000224,buy,10000009,2020-02-29,2020-03-06,10,1260,11590,12345,1000008,credit,110001
10000000225,buy,10000011,2020-02-29,2020-03-04,3,70400,204864,12346,1000009,netbanking,400001
10000000226,buy,10000001,2020-02-29,2020-03-02,1,1230,1119,12345,1000009,netbanking,400001
10000000227,buy,10000007,2020-03-01,2020-03-02,10,1365,13370,12345,1000004,cash,400001
10000000228,buy,10000008,2020-03-01,2020-03-09,7,979,6713,12348,1000004,credit,400001
10000000229,buy,10000011,2020-03-01,2020-03-05,8,1089,7840,12348,1000004,debit,400001
10000000229,return,10000011,2020-03-05,2020-03-07,8,1089,-7840,12348,1000004,debit,400001
10000000230,buy,10000009,2020-03-01,2020-03-10,4,1067,4180,12348,1000007,credit,700001
10000000231,buy,10000003,2020-03-02,2020-03-10,4,68250,248428,12349,1000003,cash,500001
10000000232,buy,10000013,2020-03-02,2020-03-05,2,696,1322,12347,1000004,cash,400001
10000000233,buy,10000014,2020-03-03,2020-03-11,10,782,7420,12350,1000002,cash,400001
10000000234,buy,10000005,2020-03-03,2020-03-13,2,77600,144336,12346,1000004,debit,400001
10000000235,buy,10000006,2020-03-04,2020-03-07,2,720,1368,12347,1000005,debit,700001
10000000236,buy,10000012,2020-03-04,2020-03-06,1,891,882,12348,1000006,debit,400001
10000000237,buy,10000013,2020-03-04,2020-03-11,2,1089,2090,12348,1000008,credit,110001
10000000238,buy,10000004,2020-03-05,2020-03-07,9,66750,582723,12349,1000005,netbanking,700001
10000000239,buy,10000001,2020-03-05,2020-03-09,4,62250,244020,12349,1000008,cash,110001
10000000240,buy,10000002,2020-03-06,2020-03-15,3,672,1974,12347,1000010,netbanking,600001
10000000241,buy,10000009,2020-03-06,2020-03-13,1,1305,1252,12345,1000009,cash,400001
10000000242,buy,10000001,2020-03-06,2020-03-12,6,990,5640,12348,1000005,cash,700001
10000000243,buy,10000012,2020-03-07,2020-03-11,2,60750,116640,12349,1000009,credit,400001
10000000244,buy,10000007,2020-03-07,2020-03-15,1,65250,59377,12349,1000010,cash,600001
10000000245,buy,10000012,2020-03-07,2020-03-15,4,712,2676,12347,1000005,cash,700001
10000000246,buy,10000005,2020-03-08,2020-03-09,8,1260,9272,12345,1000010,credit,600001
10000000247,buy,10000005,2020-03-08,2020-03-17,1,71250,69825,12349,1000010,credit,600001
